name,status,time_s
anderson.3.prop1-func-interl,sat,9.09
brp2.3.prop2-func-interl,unknown,58.90
elevator.3.prop1-back-serstep,unknown,53.93
lamport_nonatomic.5.prop1-back-serstep,unknown,43.29
pgm_protocol.7.prop2-back-serstep,unknown,48.86
sw_ball2004_2,unsat,0.08
cal178,unsat,15.88
cal182,unknown,31.95
cal205,timeout,65.00
cal235,unknown,24.34
cal27,unsat,12.77
cal41,unsat,0.05
cal75,unsat,12.99
cal97,timeout,65.00
gen102,unsat,0.04
gen103,unsat,0.04
gen112,unsat,0.03
gen45,unknown,54.58
gen53,unsat,0.04
mul9,unknown,45.43
h_Arbiter,unsat,0.08
vis_arrays_bpbs_p2,unsat,0.03
vis_arrays_vsa16a_p6,sat,5.59
arbitrated_top_n2_w32_d32_e0,unsat,0.04
arbitrated_top_n4_w8_d32_e0,unsat,0.09
arbitrated_top_n5_w128_d128_e0,sat,10.22
arbitrated_top_n5_w64_d8_e0,unsat,0.05
circular_pointer_top_w64_d8_e0,sat,5.29
shift_register_top_w32_d64_e0,sat,5.07
analog_estimation_convergence,unsat,6.27
analog_estimation_convergence,unsat,6.28
VexRiscv-regch0-20-p1,unknown,54.69
picorv32-check-p09,sat,0.04
ponylink-slaveTXlen-sat,timeout,65.11
zipcpu-busdelay-p09,unknown,21.34
zipcpu-busdelay-p10,unknown,46.94
zipcpu-zipmmu-p12,unknown,45.34
zipcpu-zipmmu-p27,unknown,29.20
zipcpu-zipmmu-p49,unknown,29.40
picorv32_mutCX_nomem-p1,timeout,65.01
picorv32_mutCX_nomem-p2,timeout,65.01
picorv32_mutCY_nomem-p8,sat,5.27
marlann_compute_cp_fail2-p1,sat,0.02
dspfilters_fastfir_second-p06,unknown,49.50
dspfilters_fastfir_second-p24,unknown,36.86
qspiflash_dualflexpress_divfive-p020,unknown,42.91
qspiflash_dualflexpress_divfive-p027,unknown,43.09
qspiflash_dualflexpress_divfive-p040,unknown,43.78
qspiflash_dualflexpress_divfive-p063,unknown,43.91
qspiflash_dualflexpress_divfive-p114,unknown,44.10
qspiflash_dualflexpress_divfive-p162,unknown,43.09
qspiflash_dualflexpress_divthree-p050,unknown,43.19
qspiflash_dualflexpress_divthree-p061,unknown,42.94
qspiflash_dualflexpress_divthree-p119,unknown,44.15
qspiflash_dualflexpress_divthree-p127,unknown,44.34
qspiflash_dualflexpress_divthree-p132,unknown,43.16
qspiflash_dualflexpress_divthree-p160,unknown,43.24
qspiflash_qflexpress_divfive-p025,unknown,43.16
qspiflash_qflexpress_divfive-p088,unknown,44.04
qspiflash_qflexpress_divfive-p093,unknown,43.12
