name,status,time_s
anderson.3.prop1-func-interl,unsat,6.332804
brp2.3.prop2-func-interl,unsat,2.971461
elevator.3.prop1-back-serstep,unsat,2.188812
lamport_nonatomic.5.prop1-back-serstep,unsat,3.101401
pgm_protocol.7.prop2-back-serstep,timeout,15.000000
sw_ball2004_2,unsat,0.084484
cal178,timeout,15.000000
cal182,unsat,4.192122
cal205,unsat,0.427812
cal235,timeout,15.000000
cal27,unsat,0.107181
cal41,unsat,0.030596
cal75,unsat,0.114435
cal97,timeout,15.000000
gen102,unsat,0.036011
gen103,unsat,0.033652
gen112,unsat,0.037494
gen45,timeout,15.000000
gen53,unsat,0.037313
mul9,timeout,15.000000
h_Arbiter,unsat,0.084791
vis_arrays_bpbs_p2,unsat,0.024175
vis_arrays_vsa16a_p6,timeout,15.000000
arbitrated_top_n2_w32_d32_e0,unsat,0.047388
arbitrated_top_n4_w8_d32_e0,unsat,0.096387
arbitrated_top_n5_w128_d128_e0,unsat,2.374372
arbitrated_top_n5_w64_d8_e0,unsat,0.044484
circular_pointer_top_w64_d8_e0,timeout,15.000000
shift_register_top_w32_d64_e0,timeout,15.000000
analog_estimation_convergence,timeout,15.000000
analog_estimation_convergence,timeout,15.000000
VexRiscv-regch0-20-p1,timeout,15.000000
picorv32-check-p09,sat,0.041115
ponylink-slaveTXlen-sat,timeout,15.000000
zipcpu-busdelay-p09,timeout,15.000000
zipcpu-busdelay-p10,timeout,15.000000
zipcpu-zipmmu-p12,timeout,15.000000
zipcpu-zipmmu-p27,timeout,15.000000
zipcpu-zipmmu-p49,timeout,15.000000
picorv32_mutCX_nomem-p1,unsat,4.828104
picorv32_mutCX_nomem-p2,unsat,5.156934
picorv32_mutCY_nomem-p8,timeout,15.000000
marlann_compute_cp_fail2-p1,sat,0.024103
dspfilters_fastfir_second-p06,timeout,15.000000
dspfilters_fastfir_second-p24,timeout,15.000000
qspiflash_dualflexpress_divfive-p020,timeout,15.000000
qspiflash_dualflexpress_divfive-p027,timeout,15.000000
qspiflash_dualflexpress_divfive-p040,timeout,15.000000
qspiflash_dualflexpress_divfive-p063,timeout,15.000000
qspiflash_dualflexpress_divfive-p114,timeout,15.000000
qspiflash_dualflexpress_divfive-p162,timeout,15.000000
qspiflash_dualflexpress_divthree-p050,timeout,15.000000
qspiflash_dualflexpress_divthree-p061,timeout,15.000000
qspiflash_dualflexpress_divthree-p119,timeout,15.000000
qspiflash_dualflexpress_divthree-p127,timeout,15.000000
qspiflash_dualflexpress_divthree-p132,timeout,15.000000
qspiflash_dualflexpress_divthree-p160,timeout,15.000000
qspiflash_qflexpress_divfive-p025,timeout,15.000000
qspiflash_qflexpress_divfive-p088,timeout,15.000000
qspiflash_qflexpress_divfive-p093,timeout,15.000000
qspiflash_qflexpress_divfive-p112,timeout,15.000000
qspiflash_qflexpress_divfive-p131,timeout,15.000000
vgasim_imgfifo-p020,unsat,14.207579
vgasim_imgfifo-p040,unsat,13.335179
vgasim_imgfifo-p061,unsat,14.432196
zipversa_composecrc_prf-p12,timeout,15.000000
rast-p10,timeout,15.000000
stack-p2,timeout,15.000000
93.c,timeout,15.000000
fib_30,timeout,15.000000
fib_37,timeout,15.000000
processed_hl_arr_access_128_bv,unsat,3.962947
processed_vector_add_cmp_split_8,timeout,15.000000
ILA_AES_START_ENCRYPT_problem,timeout,15.000000
